mls_id,date_collected,description,bedrooms,bathrooms,size_sqft,stories,house_cat,price,address_number,street_name,full_street_name,locality,municipality,province_state,postal_code,pool_mentioned,lat,lon,street_name_std
X12471703,2026-01-15 18:03:47.242298+00:00,"A must see Beautiful End Unit Townhouse in the beautiful Grange Road Community in the Town Of Guelph. Bright Large Windows bringing in beautiful natural light. Upgraded Kitchen with quartz countertops, including a Large W/O Terrace from the kitchen. A Master bedroom with a 3-Piece Ensuite features its own private Balconly. Including Stainless Steel apppliances & full size Washer/Dryer. Close to all Major Amentities Schools, Retail Stores, Transit and much more *Note pictures in the Listing with Furniture have been Virtually Staged*. (41481415)",3,3.0,1199.99,2.0,Row / Townhouse,649000.0,232,57 - 232 LAW DRIVE,"57 - 232 LAW DRIVE|Guelph (Grange Road), Ontario N1E0P6",Grange Road,Guelph (Grange Road),Ontario,N1E0P6,False,43.56777,-80.21214,57 - 232 law drive
X12638338,2026-01-15 18:03:47.242298+00:00,"Welcome to this stunning detached home located in the desired family-friendly Grange Rd neighbourhood offering nearly 2,000 square feet of executive, carpet-free living! With hardwood flooring throughout, heated floors and thousands spent in custom upgrades and finishes, this house provides the perfect blend of comfort, luxury and convenience. As you enter through the covered front porch, the welcoming and spacious foyer leads to an immaculate open concept living room, complete with a modern fireplace. The gourmet custom-finished kitchen overlooks the living and dining room, and features a large island, stainless steel appliances, premium countertops, and an extended pantry! A walkout to your private fully-fenced backyard featuring a two-tier deck completes this level. Upstairs, you find a spacious primary bedroom, and two additional generous-sized bedrooms! The spa-like main bathroom has been reconfigured with an oversized walk-in shower, a luxurious soaker tub, and updated fixtures. Heading down, the fully finished basement offers a large, bright recreation room, ideal for entertainment, home-office, or an additional living space, complete with a full bathroom. Permit has been issued to convert this level into a secondary dwelling unit, if needed. With a newer roof and furnace, you can enjoy a maintenance free lifestyle for many years! Located minutes from UofG, a hospital, and essential amenities like library, shopping and dining, this house provides unparalleled access to everything you need. You are steps away from highly sought-after elementary schools with easy access to walking trails, and bus stop literally down the driveway. Whether you're savouring a morning coffee on your front porch, spending evenings at the community park just a few steps down, or enjoying the nearby conveniences, this home promises an exceptional living experience! (41829968) | Amenities: Fireplace(s)",3,3.0,1499.99,2.0,House,819900.0,563,563 GRANGE ROAD,"563 GRANGE ROAD|Guelph (Grange Road), Ontario N1E7C9",Grange Road,Guelph (Grange Road),Ontario,N1E7C9,False,43.5720074,-80.2199415,563 grange road
X12586468,2026-01-15 18:03:47.242298+00:00,"Welcome to 4 Popham - a beautifully renovated modern home in Guelph's family-friendly East End, directly across from Summit Ridge Park. This carpet-free home features an open-concept main floor with hardwood throughout, flowing from the bright living room into a spacious dining area. The newly updated kitchen offers quartz countertops, stainless steel appliances including a gas range, a center island with breakfast bar, and abundant cabinet and pantry space. A stylish 2-piece powder room completes this level. Upstairs, the large primary bedroom includes a walk-in closet and a luxurious ensuite with soaker tub and separate shower. Two additional bedrooms feature hardwood flooring and generous closets. The versatile second-floor family room-currently used as a fourth bedroom-can easily be converted permanently if desired. Convenient second-floor laundry with gas dryer and a full 4-piece bathroom finish this level. The fully finished basement adds valuable living space, featuring a wet bar with rough-in for a full kitchen, a newly finished 3-piece bathroom, and a spacious bedroom with walk-in closet and sound insulation-perfect for guests, an office, or a teen suite. Additional storage is located near the furnace and water softener. The heated, oversized two-car garage provides extended width and depth, and the stamped concrete driveway parks four vehicles & an oversized garage. The backyard is a true oasis with a heated saltwater POOL featuring a waterfall, LED color-changing lights, and multiple depths. Glass railings, poured concrete, and perennial landscaping create a beautiful, low-maintenance retreat, while still leaving space for a sandpit, play structure, and green area. Major updates include: Master Bathroom (2022) Main Washroom (2022) Powder Room (2022) Roof (2018), Furnace (2016), A/C (2019), Saltwater Pool (2019), Added Waffle Ceilings & Wainscoting. Brand New Fridge added! (41733854)",4 + 1,4.0,1999.98,2.0,House,1250000.0,4,4 POPHAM DRIVE,"4 POPHAM DRIVE|Guelph (Grange Road), Ontario N1E0B7",Grange Road,Guelph (Grange Road),Ontario,N1E0B7,True,43.5707846,-80.2309941,4 popham drive
40781354,2026-01-15 18:03:47.242298+00:00,"Enjoy executive living in desirable South End in this rarely offered freehold END unit townhouse sitting on a HUGE 76ft wide pie-shaped lot with side entrance to fully finished basement! This spacious house offers 2,177 sqft of finished living space, and has been freshly painted throughout. As you enter through the wrap around covered front porch, the welcoming foyer leads to a spacious open concept layout with large windows bringing in an abundance of natural light. The contemporary eat-in kitchen features stainless steel appliances and overlooks the living room featuring a walk out to your extra-wide private back/side yard. Upstairs, you find a spacious primary suite, boasting a generously sized walk-in closet, and an ensuite bathroom. Two additional spacious bedrooms are both primary-sized and share a second washroom, fitted with 2 sinks so the kids can get school ready without rushing in those busy mornings! Heading down, the basement is finished with permit, featuring a large, well lit recreation room with large windows, ideal for entertainment, home-office, or an additional living space. A full 4-pc washroom and a separate side entrance to the basement makes this can an ideal space for an in-law set up or for those older children who prefer their privacy. We'll leave the endless possibilities to your imagination. With no neighbours at the back, the huge pie-shaped lot offers a private oasis for you to host family and friends for outdoor entertaining. Excellent LOCATION, with top-rated elementary schools and the upcoming new Secondary School literally just steps away. UofG is a 10 minute direct bus ride! Located minutes from Hwy 401, Guelph General Hospital, restaurants, and all essential amenities, this house provides unparalleled access to everything you need. (69805657)",3,4.0,2177.0000,2.0,House,799000.0,46,46 CLOUGH Crescent,"46 CLOUGH Crescent|Guelph, Ontario N1L0G1",,Guelph,Ontario,N1L0G1,False,43.522164,-80.186059,46 clough crescent
X12448797,2026-01-15 18:03:47.242298+00:00,"Welcome to Parc Place! This well-managed condo community offers the perfect blend of comfort and convenience. Nestled at the back of the complex, this bright unit features an updated kitchen, open living/dining space, and a spacious principal bedroom with walk-in closet and treetop views. The finished basement provides a large rec room,2 piece bath, and storage. Recent upgrades include on-demand hot water, cold weather heat pump with EcoBee thermostat, porcelain tile flooring. Enjoy worry-free living with exterior upkeep, pool, tennis/pickleball court, and sauna. Steps to the University, parks, and local shops.Book your private showing today and see why Parc Place is the perfect place to call home! (41408840) | Amenities: Fireplace(s)",2,4.0,1199.99,2.0,Row / Townhouse,690000.0,941,64 - 941 GORDON STREET,"64 - 941 GORDON STREET|Guelph (Kortright West), Ontario N1G4R9",Kortright West,Guelph (Kortright West),Ontario,N1G4R9,True,43.5217931,-80.2145223,64 - 941 gordon street
40794806,2026-01-15 18:03:47.242298+00:00,"Welcome to 116 Hawkins Drive, a thoughtfully cared for 3 bedroom, 2.5 bathroom FREEHOLD townhouse located in the highly desirable south end of Guelph. Completely move-in ready, this home showcases numerous recent upgrades, modern finishes, and professional painting completed in 2022. The main floor offers a bright, well-designed layout highlighted by an updated kitchen featuring a sleek contemporary backsplash (2022), refreshed hardware, modern lighting (2022), stainless steel appliances (new oven (2025) and a generous breakfast bar with ample seating. The open-concept living and dining area feels bright and inviting, with large sliding doors leading out to the fully fenced backyard-perfect for relaxing or entertaining. A convenient 2 pc powder room and inside access to the garage complete this level. Upstairs, you'll find three spacious bedrooms, a full 4 pc main bathroom, and a new stacked washer and dryer (2023) for added convenience. The primary bedroom offers a walk-in closet and a beautifully updated 3pc ensuite (2023), along with new blackout window coverings installed in 2024. The additional bedrooms are versatile and ideal for children, guests, or a dedicated home office. The finished basement expands the living space with a flexible rec room featuring upgraded flooring (2023) and a more open layout, making it ideal for a media room, gym, or casual lounge. Situated just steps from Pergola Commons, residents enjoy quick access to shopping, dining, Cineplex, library services, GoodLife Fitness, and everyday amenities. Public transit is only a short walk away, offering a direct route to the University of Guelph and downtown, while commuters will love being less than 10 minutes from Highway 401 and Highway 6. An excellent opportunity for first-time buyers, young families, and professionals looking for comfort, convenience, and a fantastic location. (69995301)",3,3.0,1455.0000,2.0,Row / Townhouse,774900.0,116,116 HAWKINS Drive,"116 HAWKINS Drive|Guelph, Ontario N1L0M7",,Guelph,Ontario,N1L0M7,False,43.50013261,-80.182918,116 hawkins drive
X12684358,2026-01-15 18:03:47.242298+00:00,"PREMIUM build location in the City of Guelph! Rarely does a lot so close to all amenities come available in a mature neighbourhood.  Check out the supplements to review the suggested home build for this property as pictured, complete with plans and pricing, or bring your home plans to this beautiful piece of property full of mature trees. If you have ever wanted to move into Guelph and wanted a home home built to your specs, this is it! (41922448)",,0.0,,,,499900.0,33,33 ISLINGTON AVENUE,"33 ISLINGTON AVENUE|Guelph (Victoria North), Ontario N1E1B2",Victoria North,Guelph (Victoria North),Ontario,N1E1B2,False,43.5776146,-80.2619698,33 islington avenue
40770411,2026-01-15 18:03:47.242298+00:00,"Welcome to 106-30 Imperial Rd S, a 3-bedroom townhouse nestled in a quiet, well-maintained complex in Guelph’s highly desirable West End neighbourhood! This inviting home offers a bright and functional open-concept layout with a spacious kitchen that flows seamlessly into a welcoming living and dining area. Large sliding glass doors at the rear invite natural light to pour in, while providing direct access to a private back patio—perfect for enjoying your morning coffee or relaxing at the end of the day. A convenient powder room completes the main floor. Upstairs, the primary bedroom offers generous space with his-and-hers closets and multiple large windows, creating a peaceful retreat filled with natural light. 2 additional bedrooms offer ample closet space and versatility for family, guests or a home office. A well-appointed 4-piece main bathroom includes a large vanity and a combined shower/tub setup. Downstairs, the finished basement adds valuable living space with a 3-piece bathroom and recreation room that can easily adapt to your lifestyle—whether as a cozy lounge, games area, home gym or 4th bedroom. Located in a vibrant community, this townhouse is just steps from major shopping centres, banks, restaurants and everyday essentials including Costco and Zehrs. Families will love the proximity to St. Francis of Assisi Catholic School and Taylor Evans Public School, while commuters will appreciate the quick access to the Hanlon Parkway. Parks and trails are nearby, along with the West End Community Centre for year-round recreation. Whether you're looking to grow your portfolio or settle into a friendly, well-connected neighbourhood, 106-30 Imperial Rd S delivers on value, location and long-term potential! (69641617)",3,3.0,1838.0000,2.0,Row / Townhouse,625000.0,30,30 IMPERIAL Road S Unit# 106,"30 IMPERIAL Road S Unit# 106|Guelph, Ontario N1K1Y1",,Guelph,Ontario,N1K1Y1,False,43.52616333,-80.28716357,30 imperial road s unit# 106
X12407747,2026-01-15 18:03:47.242298+00:00,"Welcome to 106-30 Imperial Rd S, a 3-bedroom townhouse nestled in a quiet, well-maintained complex in Guelph's highly desirable West End neighbourhood! This inviting home offers a bright and functional open-concept layout with a spacious kitchen that flows seamlessly into a welcoming living and dining area. Large sliding glass doors at the rear invite natural light to pour in, while providing direct access to a private back patio-perfect for enjoying your morning coffee or relaxing at the end of the day. A convenient powder room completes the main floor. Upstairs, the primary bedroom offers generous space with his-and-hers closets and multiple large windows, creating a peaceful retreat filled with natural light. 2 additional bedrooms offer ample closet space and versatility for family, guests or a home office. A well-appointed 4-piece main bathroom includes a large vanity and a combined shower/tub setup. Downstairs, the finished basement adds valuable living space with a 3-piece bathroom and recreation room that can easily adapt to your lifestyle whether as a cozy lounge, games area, home gym or 4th bedroom. Located in a vibrant community, this townhouse is just steps from major shopping centres, banks, restaurants and everyday essentials including Costco and Zehrs. Families will love the proximity to St. Francis of Assisi Catholic School and Taylor Evans Public School, while commuters will appreciate the quick access to the Hanlon Parkway. Parks and trails are nearby, along with the West End Community Centre for year-round recreation. Whether you're looking to grow your portfolio or settle into a friendly, well-connected neighbourhood, 106-30 Imperial Rd S delivers on value, location and long-term potential! (41279319) | Amenities: Visitor Parking",3,3.0,1199.99,2.0,Row / Townhouse,625000.0,30,106 - 30 IMPERIAL ROAD S,"106 - 30 IMPERIAL ROAD S|Guelph (Willow West/Sugarbush/West Acres), Ontario N1K1Y1",Willow West/Sugarbush/West Acres,Guelph (Willow West/Sugarbush/West Acres),Ontario,N1K1Y1,False,43.5264558,-80.2874177,106 - 30 imperial road s
X12601652,2026-01-15 18:03:47.242298+00:00,"77 Severn Drive is strategically located in Guelph's desirable East End, offering protected greenspace views to the front and back. This open-concept FREEHOLD townhome (no condo fees) offers the functionality of a detached house combined with the peaceful setting of a quiet street. The inviting cobblestone walkway leads you into a home where the main floor shines with an open-concept layout integrating a well-sized eat-in kitchen with a bright, comfortable living area, featuring a custom fireplace. Oversized windows and a sliding back door maximize natural light and open onto a private backyard setting, complete with a spacious deck and fully fenced yard; enjoy the tranquility provided by the established perennial garden and the beautiful protected greenspace views. The upper floor features a spacious primary suite with an expansive closet complete with sliding barn doors and built-in shelving, a full 4-piece bathroom, and two additional bedrooms overlooking the nearby nature area. The finished lower level adds immediate bonus living space with a large recreation room and a modern three-piece bathroom. This FREEHOLD townhome is an excellent choice for first-time buyers and growing families, providing substantial local convenience: it is within walking distance to multiple parks and excellent schools (including a French Immersion option). Residents enjoy immediate access to the Watson Creek Trails plus local amenities like Eastview Community Park (splash pad, disc golf, pump track) and the East End Guelph Public Library. The Victoria Road Recreation Centre (pool, arena) is a quick drive away, and the property is located a short drive from the planned Guelph Innovation District, ensuring strong future growth. This property delivers a unique blend of established community convenience and quiet natural setting privacy. Image Disclaimer: Some images have been digitally enhanced. (41764696) | Amenities: Fireplace(s)",3,3.0,1099.99,2.0,Row / Townhouse,720000.0,77,77 SEVERN DRIVE,"77 SEVERN DRIVE|Guelph (Grange Road), Ontario N1E7L2",Grange Road,Guelph (Grange Road),Ontario,N1E7L2,True,43.5734867,-80.2138238,77 severn drive
X12557234,2026-01-15 18:03:47.242298+00:00,"Welcome to 34 Woodridge Crescent! Tucked away in one of Guelph's well-established neighbourhoods, this charming 2-storey home offers 4 bedrooms, 3 bathrooms and over 2,225 sq. ft. of living space. Just steps from shopping (Costco, Zehrs), banks, the West End Rec Centre, schools and parks. Quick access to HWY's 6, 7 & 124 makes commuting much easier. As you step inside you'll be welcomed by a spacious, fully renovated chef's kitchen, featuring ample custom cabinetry, expansive wood countertops, and a bright breakfast nook, all thoughtfully designed. Oversized windows throughout the home flood the space with natural light. The dining area flows seamlessly into a spacious living room highlighted by a cozy wood-burning fireplace, ideal for family time. A convenient side entrance provides direct access to the walk-up basement and the deck-ideal for multi-generational living, teenagers or those in need of added privacy. As you go up the stairs, you'll find 3 very spacious bedrooms and a full 4-piece bathroom. The primary bedroom is exceptionally large, featuring a deep closet for ample storage. The fully finished basement features a generous Rec room, an additional bedroom/den, a 3-piece bathroom, and a large utility room that includes the laundry area. You'll enjoy relaxing and entertaining loved ones in the fully fenced backyard, which features a large main deck and a convenient side deck. As a bonus, the hot tub and two storage sheds are also included. List of upgrades: professionally renovated kitchen 2023 with luxury vinyl plank flooring (new insulation, studs, drywall and wiring), new windows by Nordik Windows 2023, shingles Nov 2019 by Platinum Roofing (50 yr transferable warranty), upstairs bath/shower & basement shower by Bath Fitter Feb 2025, new electrical panel Jan 2023, wood stove by Fergus Fireplace 2009 (triple wall pipe, fire rated wood stove tile pad) and SS appliances. One car garage and the driveway that can fit 2 cars complete this cute family home. (41673924) | Amenities: Fireplace(s)",3 + 1,3.0,1499.99,2.0,House,779900.0,34,34 WOODRIDGE DRIVE,"34 WOODRIDGE DRIVE|Guelph (Willow West/Sugarbush/West Acres), Ontario N1H7E2",Willow West/Sugarbush/West Acres,Guelph (Willow West/Sugarbush/West Acres),Ontario,N1H7E2,False,43.5154343,-80.2818249,34 woodridge drive
X12584970,2026-01-15 18:03:47.242298+00:00,"Exceptional Investment Opportunity at 41 Alma Street North, Guelph! Step into a smart, revenue-generating property nestled in one of Guelph's most established neighbourhoods. This fully legal duplex offers both comfort and strong income potential, making it ideal for investors, multigenerational families, or owner-occupiers seeking supplementary income. The main level features over 1,000 square feet of bright, welcoming living space. It includes two generous bedrooms, an open-concept living and dining area, and a well-appointed kitchen with stainless steel appliances. The entire level is carpet-free, creating a clean, low-maintenance environment perfect for everyday living. The lower level has a separate entrance and offers an excellent secondary living space. It includes two additional bedrooms, a full kitchen, a full bathroom, a spacious living room, and ample storage. Whether used as a rental suite, in-law setup, or shared family space, the layout provides both privacy and functionality. Outside, the mature backyard offers plenty of space to relax or entertain. A large deck provides a private retreat surrounded by greenery, ideal for summer gatherings, gardening, or simply enjoying quiet evenings outdoors. Located in a sought-after area, this property is within walking distance to The Junction, offering access to trendy shops, restaurants, and cafés. It's also close to parks, schools, and public transit, with quick connections to downtown Guelph's amenities, culture, and entertainment. The area's strong rental demand adds to the appeal for investors and those seeking long-term value. Whether you're building wealth, accommodating family, or looking for a flexible living arrangement, 41 Alma Street North delivers the perfect blend of comfort, location, and opportunity. (41730751)",2 + 2,2.0,699.99,1.0,Duplex,799000.0,41,41 ALMA STREET N,"41 ALMA STREET N|Guelph (Junction/Onward Willow), Ontario N1H5X2",Junction/Onward Willow,Guelph (Junction/Onward Willow),Ontario,N1H5X2,False,43.5375225,-80.2645431,41 alma street n
X12653480,2026-01-15 18:03:47.242298+00:00,Attention Investors- 5 Bedroom Student rental in the heart of University of Guelph. Great mix of Student and Family neighbourhood.  Easy Walk to U of G and close to transit and all Amenities.  Well kept Raised bungalow on a large lot.  3 large bedrooms upstairs and 3 pc bath.  Large open kitchen.  Separate Dining room with walk out to large deck.  Oversize living room.  2 additional bedrooms downstairs with 3 pc bath and Laundry.  New furnace and A/C (Fall 2025) (41860918),3 + 2,2.0,1099.99,1.0,House,839900.0,6,6 BRAZOLOT DRIVE,"6 BRAZOLOT DRIVE|Guelph (Kortright West), Ontario N1G4M2",Kortright West,Guelph (Kortright West),Ontario,N1G4M2,False,43.5173103,-80.2281159,6 brazolot drive
X12603348,2026-01-15 18:03:47.242298+00:00,"Welcome to 65 Norton Drive, located on a quiet part of this East end neighbourhood and backing on farmland you have a very private spot to call home. Situated on a 39 by 120 foot lot, this bungalow offers 1405 sq ft on the main level and another 1429 sq ft in the unfinished basement offering the opportunity to have a future total living space of 2834 sq ft. From the front entrance you are welcomed by a double drive with an interlock brick border, a nice sized front porch to unwind on and a comfortable front entry to welcome family and friends. The Kitchen offers plenty of counter space, a long breakfast bar, attractive backsplash,  and stainless steel Kitchenaid appliances - space for more than one cook! The living room offers an 18 foot by 18 foot space to entertain or just relax and overlooks the quiet and very private rear deck and gardens (NO REAR NEIGHBOURS!). The formal dining space will easily fit your dining table and seat 6-8 people for gatherings - OR - this space can easily be converted into bedroom number 3!! The primary suite is large enough for your King sized bed with room left for your dressers, and don't forget the walk in closet -- and a private 4 pc ensuite bath. The second bedroom is Queen sized with room for a dresser and offers a good sized closet. The laundry room is just off the garage and is spacious with matching LG washer and dryer complete with drawer stands.Just off the Laundry room you have two handy coat closets.  The oversized 1.5 car garage measures 19 ft 11 in by 14 ft 10 in. Pride of ownership is evident in this longtime loved home, ready for your family to start your new chapter. Close to schools and surround by parks and trails. This gem will check off plenty of those must haves! (41768330)",2,2.0,1099.99,1.0,House,869900.0,65,65 NORTON DRIVE,"65 NORTON DRIVE|Guelph (Grange Road), Ontario N1E7K8",Grange Road,Guelph (Grange Road),Ontario,N1E7K8,False,43.5769221,-80.2155959,65 norton drive
X12405145,2026-01-15 18:03:47.242298+00:00,"Welcome to 103 Surrey St E, a beautifully renovated century home nestled in one of Guelph's most desirable locations, just a short stroll from the vibrant downtown! This 3-bedroom gem is the perfect blend of historic charm & modern updates! Upon entry, you're greeted by a bright & airy living room, featuring solid hardwood floors & multiple windows that flood the space with natural light. The living room flows effortlessly into a spacious dining room, ideal for hosting family gatherings or dinner parties with friends. The eat-in kitchen is a showstopper with fresh white cabinetry, a beautiful backsplash & stainless steel appliances. The charming wainscoting adds character & direct access to the deck makes outdoor entertaining a breeze-perfect for BBQs with friends & family. Upstairs, you'll find 3 spacious bedrooms, all with hardwood floors, high baseboards & large windows that invite abundant natural light. The modern 3-piece bathroom features a sleek vanity & convenient stackable laundry. With room to add a 4th bedroom & zoning that allows for future possibilities, this home offers incredible flexibility! The property also includes a detached garage at the back, perfect for additional storage or parking. The home has been mechanically updated, including a newer furnace, wiring, windows & plumbing, along with cosmetic upgrades such as the kitchen, bathroom & flooring. This property's location is unbeatable. Its just a short walk to downtown Guelph offering an array of restaurants, boutique shops, nightlife & more. For commuters, the GO Train station is within walking distance. You're also just steps away from the University of Guelph, making it ideal for students or parents of students. Local gems like Sugo on Surrey & Zen Gardens are at your doorstep! (41270676)",3,1.0,1099.99,2.0,House,499900.0,103,103 SURREY STREET E,"103 SURREY STREET E|Guelph (Downtown), Ontario N1H3P7",Downtown,Guelph (Downtown),Ontario,N1H3P7,False,43.5442296,-80.2438716,103 surrey street e
X12533416,2026-01-15 18:03:47.242298+00:00,"Welcome to 5 Silversmith Court, a beautifully renovated masterpiece in Guelph's highly sought-after South End. This one-of-a-kind backsplit offers a complete transformation, blending high-end finishes and modern design throughout. From the moment you step up the stone stairs and into the meticulously landscaped front yard, you'll be impressed by the elegant stone facade and interlock driveway, providing ample space for up to four vehicles. Inside, the home boasts luxurious marble tiles, new doors, LED spot lighting throughout the home and new hardwood flooring throughout-there's no carpet to be found. The spacious, open-concept layout features an upgraded kitchen with sleek finishes and stainless steel appliances (2022), perfect for any home chef. Enjoy three generously sized bedrooms and two stunning 4-piece bathrooms, all designed with style and comfort in mind.The fully finished basement (2023) offers a discretely hidden Washer and dryer, a Tankless Water Heater (2023) and Water Softener, along with additional living space, ideal for a bedroom, home office, recreation room, or extra storage.The large interlocked driveway that allows easily 4 cars to be parked along with the finishedgarage which has epoxy sealed flooring is a must see.The large backyard is an entertainer's dream, complete with a beautiful pergola, a Built-in Fold-out BBQ, and a vast interlocked stone area, perfect for hosting gatherings or relaxing outdoors.Located just minutes from the University of Guelph, major transit routes, and the 401, this home is perfectly situated for easy access to all amenities. Don't miss your chance to own this modern, stylish home in a prime location.Other Notable Upgrades: Security cameras at the front and back of the home. EV Charger rough-in.This modern masterpiece won't last long-schedule your viewing today! (41625313) | Amenities: Canopy, Fireplace(s)",3 + 1,2.0,1499.99,,House,899999.0,5,5 SILVERSMITH COURT,"5 SILVERSMITH COURT|Guelph (Kortright West), Ontario N1G5C1",Kortright West,Guelph (Kortright West),Ontario,N1G5C1,False,43.5109904,-80.2087278,5 silversmith court
40776508,2026-01-15 18:03:47.242298+00:00,"Huge East End Family Home: 6 Bedrooms, Parkside Location, and In-Law Suite Ready! If your family is outgrowing every listing you see, welcome to the solution! This rare, oversized 6-bed, 4-bath home in Guelph's sought-after East End offers an exceptional amount of space, with over 2,900+ square feet and designed for the dynamics of a huge or multi-generational household. Room for Everyone: The concept here is simple: NO SMALL ROOMS. Every single room is generously scaled, eliminating the typical compromise of squeezing family members into small quarters. The expansive main floor features a big kitchen perfect for busy family meals, complete with a walk-out to the deck. A true game-changer is the potential in-law suite section, which can be easily separated for privacy. This area includes two large bedrooms that share a Jack and Jill bathroom, plus a bright den that also walks out to the deck. Crucially, this whole section features oversized, wheelchair-accessible doorways, making it perfect for elderly relatives or those with mobility needs. A fantastic, large family room greets you on the way up to the second floor, providing an essential second living space away from the main-floor activity. The second floor hosts four more massive bedrooms. The primary suite is an absolute retreat, boasting a walk-in closet and a gigantic ensuite bath—your personal sanctuary at the end of a long day. A huge main bathroom serves the remaining family bedrooms. There is a double-car, and the large, open, and unfinished basement provides a blank slate for future expansion. Enjoy ultimate privacy in the fenced backyard, featuring a large shed with a private gate directly into Severn Dr Park! This is your backyard playground expansion. Location is key—walkable to many schools, including the French Immersion program. Perfect For: The huge family, the blended family, or a seamlessly functioning multi-generational family. This is more than a home; it's a foundation for a full life. (69967845)",6,4.0,2932.0000,2.0,House,975000.0,37,37 SHACKLETON DR,"37 SHACKLETON DR|Guelph, Ontario N1E7L3",,Guelph,Ontario,N1E7L3,False,43.57709431,-80.21859758,37 shackleton dr
X12598196,2026-01-15 18:03:47.242298+00:00,Investment opportunity for small developers and builders. This property is being sold along side 22 Landsdown to create a minimum of 3 individual lots that will be zoned for semi's. Call listing agent for more details (41757635),,0.0,,,,1500000.0,24,24 LANDSDOWN DRIVE,"24 LANDSDOWN DRIVE|Guelph (Kortright East), Ontario N1L1H2",Kortright East,Guelph (Kortright East),Ontario,N1L1H2,False,43.5183777,-80.203749,24 landsdown drive
X12476590,2026-01-15 18:03:47.242298+00:00,"*SECOND PARKING SPACE AVAILABLE* An unprecedented and exclusive luxury offering in an unparalleled location. Welcome to elevated sophistication at 180 On The River - where every day offers breathtaking views and unforgettable moments. Wake up to sunlight spilling across your rooftop terrace while sipping your morning coffee, or go for a walk along the riverfront and pop into your favourite café just around the corner. Life here flows with ease, whether working from home in your spacious, light-filled interior or heading just minutes into the heart of downtown. Step into over 2,050sqft of refined space across four beautifully designed levels - complete with 3 spacious bedrooms, 3 luxury bathrooms, and a private elevator for effortless living. Inside, you'll find thoughtfully designed interiors featuring natural oak stairs with coordinating oak handrails, elegant 5.5"" baseboards, and 2.5"" casing throughout. Shaker-style doors with satin-nickel hardware and premium off-white paint create a sophisticated ambiance in every room. The open-concept kitchen is a chef's dream, boasting Shaker-style cabinetry with extended uppers, quartz countertops, ceramic subway tile backsplash, under-cabinet lighting, generous island with breakfast bar, premium Bosch stainless-steel appliances including a 36"" French door fridge, slide-in range, dishwasher and microwave. Retreat to the luxurious primary suite, complete with a walk-through closet and spa-inspired 5-pc ensuite featuring a soaker tub, double vanity, private water closet, and oversized glass shower with floor-to-ceiling tile and recessed lighting. All bathrooms offer quartz countertops and Moen fixtures. A full laundry area with washer and dryer adds everyday convenience. Nestled within the exclusive enclave of Old University, this idyllic neighbourhood epitomizes luxury living and natural beauty, offering an unparalleled lifestyle in Guelph - truly a once-in-a-lifetime opportunity. (41497304)",3,3.0,1999.98,3.0,Row / Townhouse,1524650.0,180,7 - 180 GORDON STREET,"7 - 180 GORDON STREET|Guelph (Dovercliffe Park/Old University), Ontario N1G1X1",Dovercliffe Park/Old University,Guelph (Dovercliffe Park/Old University),Ontario,N1G1X1,False,43.53837,-80.24065,7 - 180 gordon street
X12377409,2026-01-15 18:03:47.242298+00:00,"Legal Duplex in the Heart of Downtown Guelph! If you've been dreaming of homeownership with built-in financial flexibility, this legal duplex in Guelph's vibrant downtown core is the kind of opportunity you don't want to miss. Live in one unit and rent out the other to help offset your mortgage, or hold as a smart long-term investment in one of the city's most desirable locations. The main unit is full of charm and character, offering a spacious eat-in kitchen with stainless steel appliances and a bright front living room with large windows that let in plenty of natural light. Upstairs, you'll find three bedrooms plus a bonus office or den perfect for anyone working from home, along with a functional 4-piece bathroom. A cozy sunroom adds bonus living space during the warmer months, bringing even more flexibility to the layout. The second unit is a comfortable one-bedroom apartment with a generous living room, compact galley kitchen, and a practical 3-piece bathroom. Both units are carpet-free for easy maintenance and everyday living. While the property could benefit from some updates, the solid bones and versatile floor plan make it easy to add value over time. Outside, you'll appreciate parking for two vehicles and a beautifully maintained side yard with mature perennials and shrubs, a private spot to relax or entertain on summer evenings. Best of all, you're just steps to everything downtown Guelph has to offer, including the Farmers Market, The Bookshelf, Fixed Gear Brewing, shops, restaurants, and the GO Train & VIA Rail. Whether you're an investor, renovator, or first-time buyer looking to live in one unit while renting the other, this is a rare chance to secure a legal duplex in a prime location where community and convenience come together. (41183346)",5,3.0,1499.99,2.0,House,699900.0,81,81 EDINBURGH ROAD N,"81 EDINBURGH ROAD N|Guelph (Downtown), Ontario N1H5R2",Downtown,Guelph (Downtown),Ontario,N1H5R2,False,43.5395725,-80.2606588,81 edinburgh road n
